Page Title,New node,Introduction,Essays,Arguments,Features,Reviews,GPPN Student Essay Contest,Andrew Wellington Cordier Student Essay Contest,Visual Essays,Read
The Geopolitics of Energy,/content/geopolitics-energy,Editor's Note - JIA Editorial Board,"
Poisoned by Gas: Domestic Networks and Energy Security Strategy in Ukraine - Emily Holland
EU-Russia Gas Blues - Giacomo Luciani
The Geoeconomics of the South Stream Pipeline Project - Antto Vihma and Umut Turksen
China—Kazakhstan Energy Trade Relations - César B. Martinez Alvarez
Dynamics of Natural Gas Pricing: The Critical Need for a Natural Gas Hub in South Asia - Maha Kamal
China’s Energy Security and Energy Risk Management - Lifan Li
The Impact of the U.S. Shale Boom on Africa - Nancy E. Brune
War and the Oil Price Cycle - Amy Myers Jaffe and Iareer Elass","Misperceiving U.S. Foreign Policy in the Persian Gulf: Raising the Hidden Costs of U.S. Dependence on Oil - Steve Yetiv
","Energy Prices and European Energy Security: An Interview with Ambassador Richard Momingstar
Landscapes of Oil: A Photo Essay by Edward Burtynsky
New Trends, Changing Dynamics: Student Observations","Setting It Straight: Debunking Common Mispereeptions of Oil and America’s Quest for Energy Independence - Michael I. Gibbons Jr.
A Hotter Cold War - Eloy H. S. Oliveira
Fossil Fuels: Manna From Heaven or Magma From Hell? - Syed Raza
Private Sector Potential: A Review of Natalie Ralph’s “Peacemaking and the Extractive Industries” - Madeline Vellturo
",Between National Interests and the Greater Good: Struggling Towards a Common European Energy Policy in the Context of Climate Change - Hanno Focken,"
Fueling Oil Scarcity: Produced Scarcity and the Sociopolitical Fate of Renewable Energy - Lea Winter",,JSTOR
Migration,/content/migration,Editor's Foreword - JIA Editorial Board,"Factoring Migration into the ‘Development Data Revolution' - Frank Laczko
A Manifesto for the Fragile City - Robert Muggah
Never Mind the Metrics: Disrupting Human Trafficking by Other Means - Vanessa Neumann
Exploration in Migration: Unacceptable but Inevitable - Anne Gallagher
Lessons from Contemporary Resettlement in the South Pacific - Maxine Burkett
The Child and Family Migration Surge of Summer 2014: A Short-Lived Crisis with a Lasting Impact - Muzaffar Chishti and Faye Hipsman
Unaccompanied Children and the U.S. Immigration System: Challenges and Reforms - Annie Chen and Jennifer Gill
Preventing Mass Atrocities Against the Stateless Rohingya in Myanmar: A Call for Solutions - Katherine Southwick
Are Syria’s Do-It—Yourself Refugees Outliers or Examples of a New Norm? - Lionel Beehner
Global Competition for Brains and Talent - Manolo Abella
Reversing the Elite Brain Drain: A First Step to Address Europe’s Skills Shortage - Edoardo Campanella","
Towards a South American Citizenship? The Development of a New Post-National Form of Membership in the Region - Diego Acosta Arcarazo
Global ‘Undocumentedness' - Kavitha Rajagopalan","Actors in Forced Migration - Kelly Greenhill
Eighty-Thousand Entry Points - Antje Missbach
Rising Tides - Aunese and Sunema Simati
Define American - lose Antonio Vargas
Visualizing Global Migration - Nikolas Sander, Guy Abel, and Ramon Bauer
Images of Statelessness - Saiful Huq Omi","Rethinking Local Governance in Modern China in Light of Migratory Patterns - Tristan G. Brown
Children as Individuals: Assessing Their Rights in the Context of Global Migrations - Andrew Burns
Freedom of Migration: Oxymoron or Paradox? - Joanna Caytas
A Narrative of Low-Wage Migrants in Singapore - Xin Yi Cheow
Setting up Shop: the Far—Reaching Implications of China’s Burgeoning Presence in Africa - Michael R. Corcoran
Unathorized Immigrants as ""Americans in Waiting:” A Call for Re-Articulating the Scope of Legality and Doeumentedness - Andre Gallo
Beyond Geographic Borders - Chuck Stanley
A Quest of Self, Opportunities, and Belonging - Sonia Syafitri
Remittances in a Continuum of Space and Place - Michelle Truong","An Argument for Using Frozen Assets for Humanitarian Assisstance in Refugee Situations - Selim Sazak
","Role of Diasporas in Conflict - Amanda Roth
",,ProQuest 
Breaking Point,/content/breaking-point,Editors' Foreword - JIA Editorial Board,"Social Movements and Governments in the Digital Age: Evaluating a Complex Landscape - Zeynep Tufekci
Drones for Good: Technological Innovations, Social Movements, and the State - Austin Choi-Fitzpatrick
Digital Infrastructure Politics and Internet Freedom Stakeholders After the Arab Spring - Muzammil M. Hussain
Democratization and Women's Political Leadership in North Africa - Valentine M. Moghadam
Participatory Democracy's Moment - Francesca Polletta
A Requiem for the Arab Development Model - Adeel Malik
The Energy-Insurgency Revolution Nexus: An Introduction to Issues and Policy Options - Paul Sullivan","South Sudan: Governance Arrangements, War, and Peace - Jenik Radon and Sarah Logan
The Politics of International Sanctions: The 2014 Coup in Thailand - Pavin Chachavalpongpun
Crackdown: The Harsh Realities of Nonviolent Protests in the Bahraini Civil Conflict - Maryam Al-Khawaja
","A Changing Media Landscape in Turkey: The 140journos Project - Burcu Baykurt
Hong Kong Demands Democracy - Michael Davis
The Possibility of Global Data Sets - Kalev Leetaru
Prospects for Peace: Negotiations with FARC - Alexandra Nariño
Reporting Behind Bars - Mohammed Al Oraibi
Voices of Protest - Alfredo Graffe, Efe Koç, and Mila Moroz
","Turkey Rising: Increasing Confidence in Times of Conflict - Andrew Burns
On The Prospects of World Order - Bryan Griffin
The Far-Reaching Impacts of the Arab Spring - Yohann Ripert
The Russian State Strikes Back: The Relevance of the State to Civil Society in Russia - Irina V. Soboleva
Living Through Revolution: A View from an Apartment in Ukraine - Lydia Tomkiw","The Bolivarian Spring: What are the Possibilities for Regime Change in Venezuela? - Gustavo Adolfo Vargas Victoria
","Civil Society as Domestication: Egyptian and Tunisian Uprisings Beyond Liberal Transitology - Niklas Plaetzer
","The Struggle for Bahrain - Ahmed Humaidan, Hussain Hubail, and Sayed Ahmed al-Mousawi
A Photo Essay of Demonstrations and Civil Conflict
",JSTOR
Global Food Security,/content/global-food-security,Editors' Foreword - JIA Editorial Board,"World Hunger and the Global Economy: Strong Linkages, Weak Action - Jennifer Clapp
Food Choices, Food Security, and Food Policy - Carolyn Dimitri and Stephanie Rogus
Is the Scramble for Land in Africa Foreclosing a Smallholder Agricultural Expansion Strategy? - Thomas S. Jayne, Antony Chapoto, Nicholas Sitko, Chewe Nkonde, Milu Muyanga, and Jordan Chamberlin
Strategic Choices Shaping Agricultural Performance and Food Security in Myanmar - Steven Haggblade, Duncan Boughton, Khin Mar Cho, Glenn Denning, Renate Kloeppinger-Todd, Zaw Oo, Tun Min Sandar, Tin Maung Than, Naw Eh Mwee Aye Wai, Shannon Wilson, Ngu Wah Win, and Larry C. Y. Wong
Urbanization and Hunger: Food Policies and Programs, Responding to Urbanization, and Benefiting the Urban Poor in Three Cities - Jessica Wurwarg
Biotechnology and Food Security - David Zilberman, Scott Kaplan, Eunice Kim, Steven Sexton, and Geoffrey Barrows
Transforming Research and Development Practice to Support Agroecological Intensification of Smallholder Farming - Rebecca Nelson and Richard Coe",,"GMOS: A Solution or a Problem? - Mark Lynas and Colin Tudge
A ""Doomsday"" Seed Vault to Protect the World's Diversity - Cary Fowler
Beyond Governments: Philanthropists at the Table - Howard G. Buffett
Qatar's Journey to Self-Sufficiency - Fahad Bin Mohammed Al-Attiya
No Peace Without Food - Ertharin Cousin
Stunting: A Country's Lasting Burden - Jessica Fanzo
","The Global Land Rush - Sumeyra Aydemir
Know Your Food Politics - Andrew Burns
The Scientization of Food - Elisa Gonzáles
Genetic Technology in Food - Naheed Natasha Mansur
Food Security: Beyond Calories - Jessica Simon",,"Agropolis: The Role of Urban Agriculture in Addressing Food Insecurity in Developing Cities - Milica Koscica
",,JSTOR
The Gender Issue,/content/gender-issue,Editors' Foreword - JIA Editorial Board,"Placing Gender on the Agenda of International Affairs: Changing Conceptual and Institutional Landscapes - Yasmine Ergas
Gender Pay Equity in Advanced Countries: The Role of Parenthood and Policies - Joya Misra and Eiko Strader
From Women in Transport to Gender in Transport: Challenging Conceptual Frameworks for Improved Policymaking - Inés Sánchez de Madariaga
Global Women's Work: Historical Perspectives on the Textile and Garment Industries - Beth English
Ethnic Diversity, Gender, and National Leaders - Susan E. Perkins, Katherine W. Phillips, and Nicholas A. Pearce
Towards a New Transformative Development Agenda: The Role of Men and Boys in Achieving Gender Equality - John Hendra, Ingrid FitzGerald, and Dan Seymour
Support Versus Transformation In Development Financing: What Works To Close Gender Gaps? - Jeni Klugman and Matthew Morton
Enhancing Poor Rural Women's Land Rights in the Developing World - Roy Prosterman
Gender and New Wars - Christine Chinkin and Mary Kaldor
","Inclusive Security, Lasting Peace - Ambassador Swanee Hunt
Is Yemen A New Model? - Jamal Benomar
Congo: No Peace Without Women - Denis Mukwege
Sexual Assault: A Stain On The U.S. Military - Amy Ziering
Rethinking Manhood - Ted Bunch
Access For All: The Future For Afghanistan - Shaharzad Akbar
Women and the ""Third Way"" - Zainab Salbi",,"A Bright Future For Women In U.S. Politics - Laura Evers
Gender Jihad: The Slow and Steady Gains of Women in the Middle East - Emily E. Richardson

FURTHER READING
Nicole Elaine Avery
Sumeyra Aydemir
Caitlin C. Aymong
Stephanie Faddis
Naheed Natasha Mansur
Ryan Allen
Nalika Vasudevan
Andrew Burns
Theresa P. Castillo","Girl Power In Japanese Boardrooms? An Exploratory Study Of Critical Masses' Impact On Firm Financial Performance - Martin Taarn Pedersen
","The Burden Of History: The Issue Of ""Comfort Women"" And What Japan Must Do To Move Forward - Sonya Kuki
",,JSTOR
The Rise of Latin America,/content/rise-latin-america,Editors' Foreword - JIA Editorial Board,"Will Latin America Miss U.S. Hegemony? - Christopher Sabatini
A Changing Development Strategy - Albert Fishlow
Trade and Trade in Latin America and the Caribbean: Recent Trends, Emerging Challenges - Osvaldo Rosales and Sebastián Herreros
Poverty and Inequality in Latin America: A Story of Two Decades - Leonardo Gasparini and Guillermo Cruces
The Transformation of Security in Latin America: A Cause for Common Action - Gabriel Marcella
Reordering Regional Security in Latin America - Harold Trinkunas
China's Use of the Military Instrument in Latin America: Not Yet the Biggest Stick - Cynthia Watson
A Changing Mexico - Andrew Selee
New Directions for a More Prosperous Brazil - Thomas J. Trebat",,"Making Gender Rights Visible - Michelle Bachelet
Public Innovation for Good Governance- Sergio Fajardo
Regional Tendencies Rooted in Challenges of the Past - John H. Coatsworth
Building the Mexican State: The Notion of Citizenship - Claudio Lomnitz and Pablo Piccato
On Finding the Right Bundles: Social Policy, Growth, and Equal Development - Santiago Levy","A Tale of Two Continents - Devi Nampiaparampil
Reforming, Fast and Slow - Madeline K. B. Ross

FURTHER READING
Alina A. Smyslova
Jay Pinho
Emmania Rodriguez
Andres Lizcano Rodriguez
Annalisa Liberman
Chris Eshleman
Alexander Lee
Andrea Lozano
Monica Pham
Alana Miller
","Renewable Energy in Chile: Barriers and the Role of Public Policy - Sophie von Hatzfeldt
","Calderón's War - Nathaniel Parish Flannery
",,JSTOR
Transnational Organized Crime,/content/transnational-organized-crime,Editors' Foreword - JIA Editorial Board,"Deciphering the Linkages between Organized Crime and Transnational Crime - Jay S. Albanese
The Diverse Facilitators of Counterfeiting: A Regional Perspective - Louise Shelley
States, Frauds, and the Threat of Transnational Organized Crime - Michael Levi
Central American Gangs: Changing Nature and New Partners - Douglas Farah
The Twenty-First Century Expansion of the Transnational Drug Trade in Africa - Ashley N. Bybee
Fighting Transnational Environmental Crime - Lorraine Elliott
","Corporate Criminal Liability: Article 10 of the Convention Against Transnational Organized Crime - Mohamed Mattar
International Narcotics Law Enforcement: A Study in Irrationality - Frank G. Madsen
","Organized Crime in a Network Society - Misha Glenny
Demands of Supply: The Illicit Pathways of Global Supply Chains (Graphic) - Matthew Hockenberry
Global Vice: The Expanding Territory of the Yakuza - Jake Adelstein
Archaeology of the Present: Organized Crime through the Study of Urban Built Environments - Eyal Weizman
Whither Antidrug Policy? - Vanda Felbab-Brown
Rio de Janeiro: A Local Response to a Global Challenge - Col. Robson Rodrigues da Silva
Borderland Conditions Between the United States and Mexico - Rachel St. John and Natalia Mendoza","Criminal Activity in a Globalizing World - Madeline K.B. Ross
Hidden in Plain Sight: An Anthropology of the Global Criminal Underworld - David Kortava

FURTHER READING
Emmania Rodriguez
Alina A. Smyslova
Kristian Simon
Frank Murray
Alexander Lee
Victoria Webster
Laura Vargas
Ethan Wagner
Chris Eshleman
Diana del Olmo","Outgunned: The Honduran Fight Against Transnational Cocaine Traffickers - Ana-Constantina Kolb
","The Failed Divorce of Serbia's Government and Organized Crime - Nemanja Mladenovic
",,JSTOR
The Future of the City,/content/future-city,Editors' Foreword - JIA Editorial Board,"The Growing Economic Power of Cities - Andrés Cadena, Richard Dobbs and Jaana Remes
""Green"" as Spectacle in China - Xuefei Ren
Religious Fundamentalisms in the City: Reflections on the Arab Spring - Nezar AISayyad and Mejgan Massoumi
Governing the Twenty-First-Century City - Ester R. Fuchs
The Paris Banlieue: Peripheries of Inequity - Marc Angélil and Cary Siress
Planning for Success: Singapore, the Model City-State? - Joan C. Henderson
Urban Capabilities: An Essay on Our Challenges and Differences - Saskia Sassen
Urban America: U.S. Cities in the Global Era - Richard C. Longworth
",,"The Invention and Reinvention of the City - Rem Koolhaas
A Singapore in Central America? - Octavio Sánchez Barrientos
Millennium Cities - Jeffrey Sachs
Between Equity and Impatient Capital: Making Indian Cities - Rahul Mehrotra
Finding Solutions for Urban Imbalances - Ricky Burdett
Building ""Citizenship Culture"" in Bogotá - Antanas Mockus
Overcoming the Sustainability Challenge - Guruduth Banavar","Two Tales of a City - Ethan Wagner
The Urban Battleground: Explaining Conflict in Global Cities - Samantha Hammer

FURTHER READING
David Kortava
Timothy Sandole
Andrew McCornack
Seisei Tatebe-Goddu
Richard C. Reynolds
Samantha McCann
Edward A. Reynolds
Priyam Saraf
Matthew Schiavenza
Christopher Reeve
","Cairo 2050: Urban Dream or Modernist Delusion? - Nada Tarbush
","Refurbishment as a Sustainable Urban-Design Strategy - Zachary Craun
",,JSTOR
Inside the Authoritarian State,/content/inside-authoritarian-state,Editors' Foreword - JIA Editorial Board,"State Institutions and the Survival of Dictatorships - Natasha M. Ezrow and Erica Frantz
State Power and Staying Power: Infrastructural Mechanisms and Authoritarian Durability - Dan Slater and Sofia Fenner
Perpetuating Communist Party Rule in China - Teresa Wright
Zimbabwe's Militarized, Electoral Authoritarianism - Eldred V. Masunungure
Sovereign Wealth Funds in Nondemocratic Countries: Financing Entrenchment or Change? - Sven Behrendt
Myanmar's Fifty-Year Authoritarian Trap - Sean Turnell
More State than Nation: Lukashenko's Belarus - Oleg Manaev, Natalie Manayeva and Dzmitry Yuran
North Korea's State-Loyalty Advantage - B. R. Myers
Iran's Regime of Religion - Mehdi Khalaji
Survival, Adaptation and Uncertainty: The Case of Cuba - Eusebio Mujal-León
New Media Entrepreneurs in China: Allies of the Party-State or Civil Society? - Johan Lagerkvist",,"The Road Out of Tahrir - Mohamed EIBaradei
The Illusion of Stability in China - Wei Jingsheng
After 1989: Redefining ""Democracy"" - Ivan Krastev
Dictators' Race to the Bottom - Alastair Smith","REVIEW ESSAYS
Islam and Technology: Evolution and Revolution - Aarti Ramachandran
Mock Democracies: Authoritarian Cover-ups - Mario Bours Laborin

FURTHER READING
Michael Larson
Lyle Sylvander
Matt Snyder
Samantha Libby
Michael Jacobs
Akshay Sinha
David Kortava
Chris Chafin
Louise Loo
Angela BeiBei Bao
","Interventions against a Dictator - Utz J. Pape
","The Art of Censorship in Vietnam - Samantha Libby
","IMAGES
North and South Korean Flags and Emblems
Vietnamese Art
",JSTOR 
Sino-Indian Relations,/content/sino-indian-relations,"Editors' Foreword - JIA Editorial Board
Maps","The Breakout of China-India Strategic Rivalry in Asia and the Indian Ocean - Francine R. Frankel
Assessing the Sino-Indian Water Dispute - Jonathan Holslag
Beijing's Balancing Act: Courting New Delhi, Reassuring Islamabad - Jingdong Yuan
The Tibet Factor in India-China Relations - Rajiv Sikri
China and India: More Cooperation than Competition in Energy and Climate Change - Toufiq Siddiqi
Chinese and Indian Engagement in Africa: Competitive or Mutually Reinforcing Strategies? - Fantu Cheru and Cyril Obi
The Myth of Economic Complementarity in Sino-Indian Relations- Yasheng Huang
Technology Trade in India-China Relations: Divergent Dynamics and Implications - Varaprasad S. Dolla
Cities as the New Engine for Sino-Indian Cooperation - Pengfei Ni
Paradigm Shift in India-China Relations: From Bilateralism to Multilateralism - Swaran Singh
Divergence, Similarity and Symmetry in Sino-Indian Threat Perceptions - Lora Saalman",,"India: A Global Economic Power? Revisiting the Past and Contemplating the Future - Arvind Panagariya
Reflections from China - Cheng Ruisheng
The Not-So-Surprising Rise of China and India - Kishore Mahbubani
Mediating from Middle Ground: ASEAN, China and India - Surin Pitsuwan
U.S. Interest in Sino-Indian Cooperation - Strobe Talbott","Beyond Rhetoric: Sino-Indian Relations in an Era of Interdependence - Aditi Malik
Asian Knowledge-Based Economics: Complex and Convoluted - Maria Y. Wang

FURTHER READING
Akshaya Kumar
Derek Carnegie
Jenny Ma
Shabarika Ajitkumar
Matthew Kurlanzik
Sri Swaminathan
Ryan Arant
Andreas Fransius
Nadia Hasham
Justin Jimenez
Sujata Bordoloi
Sheena Jones
Sarika Bansal
Sadaf Sajwani
Cynthia Lee","India, China: Brothers, Brothers - Shirish Jain and Yan Shufen
","Blind Men and an Elephant: How the Indian and Chinese Press Cover Myanmar - Paul Fraioli
",,JSTOR
Innovating for Development,/content/innovating-development,Editors' Foreword - JIA Editorial Board,"Meaningful Technology Transfer for Climate Disruption - David M. Driesen and David Popp
Technologies for Climate Change Adaptation: Emerging Lessons from Developing Countries Supported by UNDP - Bertrand Tessa and Pradeep Kurukulasuriya
Can One Laptop per Child Save the World's Poor? - Mark Warschauer and Morgan Ames
The Copyright Dilemma: Copyright Systems, Innovation and Economic Development - Walter G. Park
Research Locally, Diffuse Globally? American Universities, Patents and Global Public Health - Bhaven N. Sampat
The Gender Revolution in Science and Technology - Henry Etzkowitz, Namrata Gupta and Carol Kemelgor
Higher Education and Technology Transfer: The Effects of ""Techno-sclerosis"" on Development - William E. Bertrand
Policy Incentives for a Cleaner Supply Chain: The Case of Green Chemistry - Kira J. M. Matus
Nuclear Power and Sustainable Development - H.-Holger Rogner",,"Harnessing Technology for Development Cooperation - Rajiv Shah of USAID
Accidental Activists: Using Facebook to Drive Change - Randi Zuckerberg of Facebook
Is the Google World a Better Place? - Michael T. Jones of Google
Open Source Mapping as Liberation Technology - David Kobia of Ushahidi","When Will the Next Five Billion People Get a Turn? - Kermit Jones
The Digital Economy - Patrick Delices

FURTHER READING
Christopher Reim
Anna Levy
Maheen Saleem Farooqi
C. T. Pope
Marie O'Reilly
Rebecca Karnovitz
Scott E. Hartley
Ryan Kaminski
Jeffrey Greenberg
Nick Culver",,"Reconciling Acemoglu and Sachs: Geography, Institutions and Technology - Nima Veiseh",,JSTOR 
Rethinking Russia,/content/rethinking-russia,"Editors' Foreword - JIA Editorial Board
Maps","Generational Change and the Future of U.S.-Russian Relations - Jeffrey Mankoff
Russian Dilemmas in a Multipolar World - Fyodor Lukyanov
Russia, Ukraine, and Central Europe: The Return of Geopolitics - F. Stephen Larrabee
Ukraine's Defense Engagement with the United States - Gary D. Espinas
Russia and Europe's Mutual Energy Dependence - Christophe-Alexandre Paillard
Is Russia Cursed by Oil? - Daniel Treisman
The Global Expansion of Russia's Energy Giants - Nina Poussenkova
Why Russia is Not South Korea - Sergei Guriev & Ekaterina Zhuravskaya
Russia's Financial Crisis: Economic Setbacks and Policy Responses - Padma Desai
Freedom of Expression without Freedom of the Press - Maria Lipman
A Balanced Assessment of Russian Civil Society - Debra Javeline & Sarah Lindemann-Komarova",,"U.S.-Russian Relations in an Age of American Triumphalism - Stephen F. Cohen
The View from Moscow - Sergey Ryabkov","Re-Examining Russian Energy Power - Michael Broache
Unwrapping Russian Foreign Policy - Thomas J.R. Kent
Constructing a Post-Communist Economic Order - David Szakonyi
What Can Be Done with Documents - Maksim Hanukai

Setti-Semhal Petros
Christopher Jenkins
Allon Bar
Matthew Schaaf
Kelsey L. Campbell
Emily Ingram
Rob Grabow
Karin Bennett
James Wesley Jeffers
Aiko Shimizu
Matthew Rae",,The Russian Soldier Today - Iva Savic,,JSTOR
Pakistan & Afghanistan,/content/pakistan-afghanistan,"Editors' Foreword - JIA Editorial Board
Maps","The Role of Politics in Pakistan's Economy - Ishrat Husain
The Politics of Civil Service Reform in Pakistan - Andrew Wilder
Pakistan's Own War on Terror: What the Pakistani Public Thinks - C. Christine Fair
Jihadism in Pakistan: The Expanding Frontier - Ayesha Siddiqa
Hard Choices in Countering Insurgency and Terrorism along Pakistan's North-West Frontier - Marvin G. Weinbaum
Pakistan: Militancy, the Transition to Democracy and Future Relations with the United States - Saeed Shafqat
The Mumbai Massacre and its Implications for America and South Asia - Bruce Riedel
India-Pakistan Rivalry in Afghanistan - Sumit Ganguly & Nicholas Howenstein
Pakistan's Strategic Interests, Afghanistan and the Fluctuating U.S. Strategy - Syed Farooq Hasnat
The Danger of Tribal Militias in Afghanistan: Learning From the British Empire - Kimberly Marten",,Inteview with Dov Zakheim,"Reshaping Religious Institutions: Studying the Impact of State Involvement and Regional Conflict on Pakistan's Madrassahs - Tabinda Khan
Pulling the Rug out from under Al Qaeda - Francesco Mancini
The Hegemon's Dilemma - Austin Long

FURTHER READING
Waheed Ahmad Sheikh
Jeffrey Klug
Scott E. Hartley
Kyle Henderson
Dacia McPherson
Mujtaba Rahman
Abdullahi Boru
Gerri Pozez
Sonia Luthra
Rohina Phadnis
Irina Gambs
Khisraw Amini",,Gaming the System: How Afghan Opium Underpins Local Power - Justin Mankin,,JSTOR
Africa in the 21st Century,/content/africa-21st-century,Editors' Foreword - JIA Editorial Board,"Obama and Africa: Matching Expectations with Reality - Princeton N. Lyman & Kathryn A. Robinette
U.S. Foreign Assistance to Africa: Securing America's Investment for Lasting Development - Katherine J. Almquist
Africa: The United States and China Court the Continent - David H. Shinn
Maritime Piracy in East Africa - James Kraska & Brian Wilson
African Solutions to an International Problem: Arms Control and Disarmament in Africa - Guy Lamb & Dominique Dye
The International Criminal Court's Case Against the President of Sudan: A Critical Look - Mahmood Mamdani
The African Union: Pitfalls and Prospects for Uniting Africa - Wafula Okumu
Governance and Leadership in Africa: Measures, Methods and Results - Robert I. Rotberg
Power and Pressure: Media and the Extractive Sector - Anya Schiffrin
Kenya's Unfinished Agendas - Jacqueline M. Klopp
The Glass Fortress: Zimbabwe's Cyber-Guerrilla Warfare - Clapperton Mavhunga
Africa's Growth and Resilience in a Volatile World - Ngozi Okonjo-Iweala",,"Inteview with Patrick Awuah
Five Faces of African Innovation and Entrepreneurship
","China's Role in Africa: A Growing Phenomenon - Elizabeth Sperbee
Africa at the Turn of the Century: State Failure? - Peter van der Windt
Rethinking Exclusion, Ethnicity and Conflict in Central Africa - Radha Webley

Further Reading
Lucy McClellan
Stephanie Shore
Emily T. Chang
Daniel Safran-Hon
Scott E. Hartley
Andrew Buher
Ana Carolina Cabral Murphey
Nafeesah Allen
Gerri Pozez
Alex Acs
Dan Nechita
Matt Moore",,"Religion, Social Capital and Development in the Sahel: The Niass Tijaniyya in Niger - Shailly Barnes
",,JSTOR 
Global Finance,/content/global-finance,Editors' Foreword - JIA Editorial Board,"Financial Diplomacy and the Credit Crunch: The Rise of Central Banks - Nicholas Bayne
The New ""Westphalian"" International Financial System? - Brad Setser
Governments as Market Players: State Innovation in the Global Economy - Giselle Datz
Foreign Direct Investment and Interstate Military Conflict - Quan Li
The U.S. Campaign to Squeeze Terrorists' Financing - Matthew Levitt & Michael Jacobson
China as a Creditor: A Rising Financial Power? - Gregory Chin & Eric Helleiner
The Use of Financial Measures to Promote Security - Sue E. Eckert
Sovereign Wealth Funds and the (in)Security of Global Finance - Daniel W. Drezner
The Business of Governments: Nationalism in the Context of Sovereign Wealth Funds and State-Owned Enterprises - Kathryn C. Lavelle
A Onc-and-a-Half Currency System - Benjamin J. Cohen & Paola Subacchi
A Very North Atlantic Credit Crunch: Geopolitical Implications of the Global Liquidity Crisis - Anastasia Nesvetailova & Ronen Palan
Mortgage Capital and its Particularities: A New Frontier for Global Finance - Saskia Sassen",,Inteview with C.K. Prahalad,"REVIEW ESSAYS
On Being Superclass - Dennis Bogusz
Ameican Hegemony and the Ascendance of Direct Finance - Matthias Thiemann

Further Reading
Helen Harris
Amalia Johnsson
Mariam Otkhmezuri
Matthew Leatherman
Lauren D. Klein
Andrew Michael Sinclair
Gazelle Javantash
Kelli Bissett",,The Advent of the International Financial Reporting Standards: A Catalyst for Changing Global Finance - Julia Kotlyar,,JSTOR 
Water,/content/water,Editors' Foreword - JIA Editorial Board,"Water in the 21st Century: Defining the Elements of Global Crises and Potential Solutions - Upmanu Lall, Tanya Heikkila, Casey Brown and Tobias Siegfried
Water Wars: Obscuring Opportunities - Karin R. Bencala and Geoffrey D. Dabelko
Climate Change and Water Resources: The Challenges Ahead - Kathleen A. Miller
Healing the Enlightenment Rift: Rationality, Spirituality and Shared Waters - Aaron T. Wolf
The Forgotten Infrastructure: Safeguarding Freshwater Ecosystems - Sandra L. Postel
The Potential and Promise of Water Pricing - Collins A. Ayoo and Theodore M. Horbulyk
Water and Gender: The Unexpected Connection That Really Matters - Vivienne Bennett, Sonia Dávila-Poblete and María Nieves Rico
From Universal Prescriptions to Living Rights: Local and Indigenous Water Rights Confront Public-Private Partnerships in the Andes - Rutgerd Boelens
Challenges and Realities of Water Management of Megacities: The Case of Mexico City Metropolitan Area - Cecilia Tortajada
Water Politics in South Asia: Technocratic Cooperation and Lasting Security in the Indus Basin and Beyond - Saleem H. Ali
The Role of Epistemic Communities in Offering New Cooperation Frameworks in the Euphrates-Tigris Rivers System - Aysegul Kibaroglu
Mission Not Yet Accomplished: Managing Water Resources in the Nile River Basin - Ashok Swain
A Missed Chance for Peace: Israel and Syria's Negotiations over the Golan Heights - Marwa Daoudy
Water, Sanitation and the Millennium Development Goals - Roberto Lenton, Kristen Lewis and Albert M. Wright
",,Inteview with Maude Barlow,"REVIEW ESSAYS
Developing Global Institutions for Governing Water - Ruth Langridge
Specter of Scarcity - Abigail Schade
The Politics of Water - Chandra Kiran B. Krishnamurthy

Further Reading
Alex M. Fischer
Alex Acs
Shanna Brownstein
Peter Orr
Shruthi Jayaram
John Conway Boyd
Bonnie Rose Schulman
Eugene A. Sokoloff
Laura Weinberg
Kathryn Critchell",,"On Thin Ice: Water Rights and Resource Disputes in the Arctic Ocean - Vsevolod Gunitskiy
",,JSTOR
Religion & Statecraft,/content/religion-statecraft,Editors' Foreword - JIA Editorial Board,"Tolerance and Theocracy: How Liberal States Should Think of Religious States - Michael Blake
Outwitting the Developed Countries? Existential Insecurity and the Global Resurgence of Religion - Scott M. Thomas
Religious Discrimination: A World Survey - Jonathan Fox
Religions and International Poverty Alleviation: The Pluses and Minuses - J. Paul Martin, Jason Chau and Shruti Patel
What Religion Brings to the Politics of Transitional Justice - Daniel Philpott
Local Religious Peacemakers: An Untapped Resource in U.S. Foreign Policy - Sheherazade Jafari
Islamic Just War Theory and the Challenge of Sacred Space in Iraq - Ron E. Hassner
The Fatal Flaws in the U.S. Constitutional Project for Iraq - Ann Elizabeth Mayer
The Churches' Contribution to Citizenship in Brazil - Rudolf von Sinner
Putin and the Russian Orthodox Church: Asymmetric Symphonia? - John Anderson",,An interview by Alfred C. Stepan and Mirjam Künkler - Amien Rais,"Religion and Democracy in India - Matthew Bagger
Politicizing Secularism - Anders Berg-Sørensen
Salman Rushdie Loses His Cheerfulness: Geopolitics, Terrorism and Adultery - Annabella Pitkin
The Devil in the Details - Mimi Hanaoka

Further Reading:
Yael Slater
Jessie Daniels
Eamon Kircher-Allen
Erin Sikorsky
Emad M. Salem
Zarana Sanghani
Christopher Flavelle
Adnan Mirza
Veena Vasudevan
Michael B. Clyne",,Iran: Religious Leaders and Opposition Movements - Hani Mansourian,Beyond a Spiritual Calling: The Saffron Revolution,JSTOR
